Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Feb 15, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
1,"Feb 16, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
2,"Feb 17, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
3,"Feb 18, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
4,"Feb 19, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
5,"Feb 20, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
6,"Feb 21, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
7,"Feb 22, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
8,"Feb 23, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
9,"Feb 24, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
10,"Feb 25, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
11,"Feb 26, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
12,"Feb 27, 2020",1,0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
13,"Feb 28, 2020",2,0.000,0.000,2,1,0,0,2,0,0,0,0,0,1,0.000,0.000
14,"Feb 29, 2020",3,0.000,0.000,3,1,1,0,3,0,0,0,0,0,1,0.000,0.000
15,"Mar 01, 2020",4,0.000,0.000,4,1,1,0,4,0,0,0,0,0,1,0.000,0.000
16,"Mar 02, 2020",4,0.000,0.000,4,0,1,1,4,0,0,0,0,0,0,0.000,0.000
17,"Mar 03, 2020",10,0.000,0.000,10,6,2,1,10,0,0,0,0,0,6,0.000,0.000
18,"Mar 04, 2020",14,0.000,0.000,14,4,3,2,14,0,0,0,0,0,4,0.000,0.000
19,"Mar 05, 2020",18,0.000,100.000,19,5,5,3,18,0,0,0,0,1,5,0.000,100.000
20,"Mar 06, 2020",20,0.000,100.000,21,2,4,3,20,0,0,0,0,0,2,0.000,100.000
21,"Mar 07, 2020",26,0.000,100.000,27,6,4,3,26,0,0,0,0,0,6,0.000,100.000
22,"Mar 08, 2020",34,0.000,100.000,35,8,6,5,34,0,0,0,0,0,8,0.000,100.000
23,"Mar 09, 2020",89,0.000,100.000,90,55,23,12,89,0,0,0,0,0,55,0.000,100.000
24,"Mar 10, 2020",261,0.000,100.000,262,172,78,36,261,0,0,0,0,0,172,0.000,100.000
25,"Mar 11, 2020",513,0.000,100.000,514,252,160,71,513,0,0,0,0,0,252,0.000,100.000
26,"Mar 12, 2020",673,0.000,100.000,674,160,194,94,673,0,0,0,0,0,160,0.000,100.000
27,"Mar 13, 2020",803,0.000,100.000,804,130,181,112,803,0,0,0,0,0,130,0.000,100.000
28,"Mar 14, 2020",834,50.000,50.000,836,32,107,115,834,1,1,0,0,0,32,50.000,50.000
29,"Mar 15, 2020",861,66.670,33.330,864,28,64,119,861,2,1,0,0,0,28,66.670,33.330
30,"Mar 16, 2020",909,80.000,20.000,914,50,36,117,909,4,2,1,0,0,50,80.000,20.000
31,"Mar 17, 2020",972,80.000,20.000,977,63,47,103,972,4,0,1,1,0,63,80.000,20.000
32,"Mar 18, 2020",1052,80.000,20.000,1057,80,65,77,1052,4,0,1,0,0,80,80.000,20.000
33,"Mar 19, 2020",1144,85.710,14.290,1151,94,79,68,1144,6,2,1,1,0,94,85.710,14.290
34,"Mar 20, 2020",1245,90.000,10.000,1255,104,92,65,1245,9,3,1,1,0,104,90.000,10.000
35,"Mar 21, 2020",1312,92.860,7.140,1326,71,90,70,1312,13,4,3,2,0,71,92.860,7.140
36,"Mar 22, 2020",1381,92.860,7.140,1395,69,81,76,1381,13,0,3,2,0,69,92.860,7.140
37,"Mar 23, 2020",1435,96.000,4.000,1460,65,69,78,1435,24,11,5,2,0,65,96.000,4.000
38,"Mar 24, 2020",1558,96.970,3.030,1591,131,88,87,1558,32,8,6,4,0,131,96.970,3.030
39,"Mar 25, 2020",1689,97.140,2.860,1724,133,110,96,1689,34,2,7,5,0,133,97.140,2.860
40,"Mar 26, 2020",1835,97.620,2.380,1877,153,139,103,1835,41,7,6,5,0,153,97.620,2.380
41,"Mar 27, 2020",1993,98.110,1.890,2046,169,151,113,1993,52,11,6,6,0,169,98.110,1.890
42,"Mar 28, 2020",2135,98.480,1.520,2201,155,159,125,2135,65,13,11,7,0,155,98.480,1.520
43,"Mar 29, 2020",2322,98.630,1.370,2395,194,173,143,2322,72,7,10,9,0,194,98.630,1.370
44,"Mar 30, 2020",2499,98.720,1.280,2577,182,177,160,2499,77,5,8,7,0,182,98.720,1.280
45,"Mar 31, 2020",2769,98.900,1.100,2860,283,220,181,2769,90,13,9,9,0,283,98.900,1.100
46,"Apr 01, 2020",2109,10.420,89.580,3107,247,237,198,2109,104,14,10,10,893,247,10.420,89.580
47,"Apr 02, 2020",2174,10.150,89.850,3386,279,270,215,2174,123,19,16,11,195,279,10.150,89.850
48,"Apr 03, 2020",2425,10.440,89.560,3757,371,299,245,2425,139,16,16,13,104,371,10.440,89.560
49,"Apr 04, 2020",2633,11.150,88.850,4077,320,323,268,2633,161,22,19,13,90,320,11.150,88.850
50,"Apr 05, 2020",2863,11.890,88.110,4369,292,328,282,2863,179,18,19,16,44,292,11.890,88.110
51,"Apr 06, 2020",3116,11.950,88.050,4681,312,308,300,3116,187,8,16,15,51,312,11.950,88.050
52,"Apr 07, 2020",3377,11.980,88.020,5071,390,331,316,3377,203,16,14,17,113,390,11.980,88.020
53,"Apr 08, 2020",3563,11.850,88.150,5402,331,344,328,3563,218,15,13,16,130,331,11.850,88.150
54,"Apr 09, 2020",3662,12.010,87.990,5635,233,318,321,3662,237,19,16,16,115,233,12.010,87.990
55,"Apr 10, 2020",3799,12.230,87.770,5819,184,250,295,3799,247,10,15,16,37,184,12.230,87.770
56,"Apr 11, 2020",3781,11.740,88.260,5996,177,198,274,3781,260,13,14,14,182,177,11.740,88.260
57,"Apr 12, 2020",3778,11.390,88.610,6174,178,179,258,3778,273,13,12,13,168,178,11.390,88.610
58,"Apr 13, 2020",3798,11.310,88.690,6318,144,167,234,3798,285,12,13,14,112,144,11.310,88.690
59,"Apr 14, 2020",3697,10.630,89.370,6511,193,171,205,3697,299,14,13,14,280,193,10.630,89.370
60,"Apr 15, 2020",3624,10.110,89.890,6681,170,169,183,3624,309,10,12,13,233,170,10.110,89.890
61,"Apr 16, 2020",3535,9.600,90.400,6879,198,187,178,3535,321,12,12,12,275,198,9.600,90.400
62,"Apr 17, 2020",3348,9.020,90.980,7073,194,188,179,3348,336,15,12,13,366,194,9.020,90.980
63,"Apr 18, 2020",3049,8.250,91.750,7242,169,187,178,3049,346,10,12,12,458,169,8.250,91.750
64,"Apr 19, 2020",2888,7.900,92.100,7384,142,168,173,2888,355,9,12,12,294,142,7.900,92.100
65,"Apr 20, 2020",2839,7.780,92.220,7515,131,147,171,2839,364,9,9,11,171,131,7.780,92.220
66,"Apr 21, 2020",2625,7.300,92.700,7695,180,151,169,2625,370,6,8,10,388,180,7.300,92.700
67,"Apr 22, 2020",2441,7.020,92.980,7912,217,176,176,2441,384,14,10,11,387,217,7.020,92.980
68,"Apr 23, 2020",2295,6.820,93.180,8073,161,186,170,2295,394,10,10,10,297,161,6.820,93.180
69,"Apr 24, 2020",2281,6.800,93.200,8210,137,172,163,2281,403,9,11,10,142,137,6.800,93.200
70,"Apr 25, 2020",2358,6.870,93.130,8445,235,178,172,2358,418,15,11,10,143,235,6.870,93.130
71,"Apr 26, 2020",2348,6.780,93.220,8575,130,167,170,2348,422,4,9,10,136,130,6.780,93.220
72,"Apr 27, 2020",2312,6.690,93.310,8698,123,163,169,2312,427,5,8,9,154,123,6.690,93.310
73,"Apr 28, 2020",2296,6.620,93.380,8851,153,135,165,2296,434,7,6,9,162,153,6.620,93.380
74,"Apr 29, 2020",2199,6.510,93.490,9008,157,144,156,2199,443,9,7,8,245,157,6.510,93.490
75,"Apr 30, 2020",2160,6.460,93.540,9158,150,154,155,2160,452,9,8,8,180,150,6.460,93.540
76,"May 01, 2020",2122,6.400,93.600,9311,153,153,158,2122,460,8,9,9,183,153,6.400,93.600
77,"May 02, 2020",2043,6.450,93.550,9407,96,133,137,2043,475,15,10,8,160,96,6.450,93.550
78,"May 03, 2020",2052,6.480,93.520,9523,116,122,136,2052,484,9,11,9,98,116,6.480,93.520
79,"May 04, 2020",2089,6.500,93.500,9670,147,119,138,2089,493,9,11,9,101,147,6.500,93.500
80,"May 05, 2020",2022,6.450,93.550,9821,151,138,139,2022,503,10,9,10,208,151,6.450,93.550
81,"May 06, 2020",1939,6.330,93.670,9938,117,139,133,1939,506,3,8,9,197,117,6.330,93.670
82,"May 07, 2020",1858,6.250,93.750,10083,145,137,132,1858,514,8,7,9,218,145,6.250,93.750
83,"May 08, 2020",1769,6.180,93.820,10218,135,133,130,1769,522,8,6,9,216,135,6.180,93.820
84,"May 09, 2020",1700,6.100,93.900,10319,101,127,130,1700,526,4,7,7,166,101,6.100,93.900
85,"May 10, 2020",1685,6.030,93.970,10429,110,115,129,1685,527,1,4,6,124,110,6.030,93.970
86,"May 11, 2020",1658,5.950,94.050,10513,84,98,121,1658,527,0,2,5,111,84,5.950,94.050
87,"May 12, 2020",1484,5.790,94.210,10591,78,91,110,1484,527,0,0,3,252,78,5.790,94.210
88,"May 13, 2020",1471,5.800,94.200,10667,76,79,104,1471,533,6,2,4,83,76,5.800,94.200
89,"May 14, 2020",1371,5.750,94.250,10713,46,67,90,1371,537,4,3,3,142,46,5.750,94.250
90,"May 15, 2020",1295,5.660,94.340,10791,78,67,82,1295,537,0,4,3,154,78,5.660,94.340
91,"May 16, 2020",1208,5.630,94.370,10858,67,63,77,1208,543,6,3,2,148,67,5.630,94.370
92,"May 17, 2020",1153,5.600,94.400,10927,69,72,71,1153,547,4,3,3,120,69,5.600,94.400
93,"May 18, 2020",1119,5.560,94.440,10968,41,59,65,1119,548,1,4,3,74,41,5.560,94.440
94,"May 19, 2020",1077,5.530,94.470,11044,76,62,65,1077,551,3,3,3,115,76,5.530,94.470
95,"May 20, 2020",1027,5.490,94.510,11117,73,63,64,1027,554,3,2,3,120,73,5.490,94.510
96,"May 21, 2020",978,5.500,94.500,11182,65,71,67,978,561,7,4,4,107,65,5.500,94.500
97,"May 22, 2020",905,5.430,94.570,11230,48,62,63,905,561,0,4,3,121,48,5.430,94.570
98,"May 23, 2020",892,5.400,94.600,11289,59,58,61,892,561,0,2,3,72,59,5.400,94.600
99,"May 24, 2020",898,5.370,94.630,11360,71,59,62,898,562,1,0,2,64,71,5.370,94.630
100,"May 25, 2020",860,5.350,94.650,11387,27,52,60,860,563,1,1,2,64,27,5.350,94.650
101,"May 26, 2020",821,5.310,94.690,11428,41,47,55,821,563,0,1,2,80,41,5.310,94.690
102,"May 27, 2020",809,5.290,94.710,11480,52,40,52,809,565,2,1,1,62,52,5.290,94.710
103,"May 28, 2020",764,5.280,94.720,11512,32,41,47,764,568,3,1,1,74,32,5.280,94.720
104,"May 29, 2020",785,5.260,94.740,11593,81,55,52,785,568,0,2,1,60,81,5.260,94.740
105,"May 30, 2020",735,5.240,94.760,11633,40,51,49,735,571,3,2,2,87,40,5.240,94.760
106,"May 31, 2020",733,5.250,94.750,11669,36,53,44,733,574,3,2,1,35,36,5.250,94.750
107,"Jun 01, 2020",711,5.240,94.760,11699,30,35,44,711,576,2,3,2,50,30,5.240,94.760
108,"Jun 02, 2020",665,5.240,94.760,11734,35,34,44,665,580,4,3,3,77,35,5.240,94.760
109,"Jun 03, 2020",639,5.210,94.790,11771,37,34,42,639,580,0,2,2,63,37,5.210,94.790
110,"Jun 04, 2020",609,5.200,94.800,11811,40,37,42,609,582,2,2,2,68,40,5.200,94.800
111,"Jun 05, 2020",636,5.210,94.790,11875,64,47,41,636,586,4,2,2,33,64,5.210,94.790
112,"Jun 06, 2020",616,5.190,94.810,11924,49,51,41,616,587,1,2,3,68,49,5.190,94.810
113,"Jun 07, 2020",604,5.190,94.810,11948,24,46,40,604,589,2,2,2,34,24,5.190,94.810
114,"Jun 08, 2020",577,5.210,94.790,11962,14,29,38,577,593,4,3,2,37,14,5.210,94.790
115,"Jun 09, 2020",559,5.180,94.820,12001,39,25,38,559,593,0,2,2,57,39,5.180,94.820
116,"Jun 10, 2020",519,5.160,94.840,12016,15,23,35,519,593,0,1,2,55,15,5.160,94.840
117,"Jun 11, 2020",487,5.140,94.860,12035,19,24,32,487,593,0,0,2,51,19,5.140,94.860
118,"Jun 12, 2020",512,5.130,94.870,12099,64,33,32,512,594,1,0,1,38,64,5.130,94.870
119,"Jun 13, 2020",507,5.130,94.870,12139,40,41,31,507,597,3,2,1,42,40,5.130,94.870
120,"Jun 14, 2020",528,5.120,94.880,12193,54,53,35,528,597,0,1,1,33,54,5.120,94.880
121,"Jun 15, 2020",529,5.120,94.880,12217,24,39,36,529,598,1,1,1,22,24,5.120,94.880
122,"Jun 16, 2020",527,5.100,94.900,12250,33,37,36,527,598,0,1,1,35,33,5.100,94.900
123,"Jun 17, 2020",511,5.080,94.920,12294,44,34,39,511,598,0,0,0,60,44,5.080,94.920
124,"Jun 18, 2020",502,5.070,94.930,12344,50,42,44,502,600,2,1,1,57,50,5.070,94.930
125,"Jun 19, 2020",509,5.050,94.950,12391,47,47,42,509,600,0,0,1,40,47,5.050,94.950
126,"Jun 20, 2020",509,5.050,94.950,12391,0,32,36,509,600,0,1,1,0,0,5.050,94.950
127,"Jun 21, 2020",509,5.050,94.950,12391,0,16,28,509,600,0,0,0,0,0,5.050,94.950
128,"Jun 22, 2020",578,5.040,94.960,12527,136,45,45,578,602,2,1,1,65,136,5.040,94.960
129,"Jun 23, 2020",565,5.030,94.970,12561,34,57,44,565,603,1,1,0,46,34,5.030,94.970
130,"Jun 24, 2020",590,5.010,94.990,12615,54,75,46,590,603,0,1,1,29,54,5.010,94.990
131,"Jun 25, 2020",573,5.000,95.000,12636,21,36,42,573,603,0,0,1,38,21,5.000,95.000
132,"Jun 26, 2020",563,4.990,95.010,12675,39,38,40,563,604,1,0,0,48,39,4.990,95.010
133,"Jun 27, 2020",563,4.990,95.010,12675,0,20,41,563,604,0,1,1,0,0,4.990,95.010
134,"Jun 28, 2020",563,4.990,95.010,12675,0,13,40,563,604,0,0,0,0,0,4.990,95.010
135,"Jun 29, 2020",534,4.950,95.050,12751,76,25,32,534,605,1,0,1,104,76,4.950,95.050
136,"Jun 30, 2020",514,4.940,95.060,12768,17,31,30,514,605,0,1,0,37,17,4.940,95.060
137,"Jul 01, 2020",495,4.930,95.070,12794,26,40,26,495,606,1,0,0,44,26,4.930,95.070
138,"Jul 02, 2020",440,4.900,95.100,12815,21,21,25,440,606,0,1,1,76,21,4.900,95.100
139,"Jul 03, 2020",409,4.880,95.120,12832,17,22,23,409,606,0,0,0,48,17,4.880,95.120
140,"Jul 04, 2020",409,4.880,95.120,12832,0,12,22,409,606,0,0,0,0,0,4.880,95.120
141,"Jul 05, 2020",409,4.880,95.120,12832,0,6,22,409,606,0,0,1,0,0,4.880,95.120
142,"Jul 06, 2020",336,4.840,95.160,12878,46,15,19,336,607,1,0,0,118,46,4.840,95.160
143,"Jul 07, 2020",296,4.840,95.160,12888,10,19,17,296,609,2,1,1,48,10,4.840,95.160
144,"Jul 08, 2020",290,4.830,95.170,12900,12,23,15,290,609,0,1,0,18,12,4.830,95.170
145,"Jul 09, 2020",262,4.810,95.190,12916,16,12,14,262,609,0,1,0,44,16,4.810,95.190
146,"Jul 10, 2020",260,4.800,95.200,12946,30,20,17,260,609,0,0,1,32,30,4.800,95.200
147,"Jul 11, 2020",260,4.800,95.200,12946,0,15,16,260,609,0,0,0,0,0,4.800,95.200
148,"Jul 12, 2020",260,4.800,95.200,12946,0,10,16,260,609,0,0,1,0,0,4.800,95.200
149,"Jul 13, 2020",297,4.790,95.210,13037,91,30,23,297,610,1,0,0,53,91,4.790,95.210
150,"Jul 14, 2020",291,4.780,95.220,13061,24,39,25,291,610,0,1,0,30,24,4.780,95.220
151,"Jul 15, 2020",300,4.770,95.230,13092,31,48,27,300,610,0,0,0,22,31,4.770,95.230
152,"Jul 16, 2020",319,4.760,95.240,13124,32,29,30,319,610,0,0,1,13,32,4.760,95.240
153,"Jul 17, 2020",353,4.770,95.230,13173,49,38,32,353,611,1,0,0,14,49,4.770,95.230
