Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",1,0,0,0,1,0,0,0,0
12,"Feb 27, 2020",1,0,0,0,1,0,0,0,0
13,"Feb 28, 2020",2,1,0,0,2,0,0,0,0
14,"Feb 29, 2020",3,1,1,0,3,0,0,0,0
15,"Mar 01, 2020",3,0,1,0,3,0,0,0,0
16,"Mar 02, 2020",3,0,0,1,3,0,0,0,0
17,"Mar 03, 2020",3,0,0,0,3,0,0,0,0
18,"Mar 04, 2020",3,0,0,1,3,0,0,0,0
19,"Mar 05, 2020",9,6,2,1,9,0,0,0,0
20,"Mar 06, 2020",9,0,2,1,9,0,0,0,0
21,"Mar 07, 2020",13,4,3,1,13,0,0,0,0
22,"Mar 08, 2020",13,0,2,2,13,0,0,0,0
23,"Mar 09, 2020",15,2,2,1,15,0,0,0,0
24,"Mar 10, 2020",23,8,3,3,23,0,0,0,0
25,"Mar 11, 2020",24,1,4,3,24,0,0,0,0
26,"Mar 12, 2020",25,1,3,2,25,0,0,0,0
27,"Mar 13, 2020",25,0,1,3,25,0,0,0,0
28,"Mar 14, 2020",30,5,2,2,30,0,0,0,0
29,"Mar 15, 2020",33,3,2,3,32,0,0,0,0
30,"Mar 16, 2020",33,0,3,3,32,0,0,0,0
31,"Mar 17, 2020",34,1,1,1,33,0,0,0,0
32,"Mar 18, 2020",38,4,2,2,37,0,0,0,0
33,"Mar 19, 2020",40,2,2,2,39,0,0,0,0
34,"Mar 20, 2020",44,4,4,3,43,0,0,0,0
35,"Mar 21, 2020",49,5,3,3,48,0,0,0,0
36,"Mar 22, 2020",54,5,5,3,53,0,0,0,0
37,"Mar 23, 2020",61,7,6,4,53,0,0,0,0
38,"Mar 24, 2020",70,9,7,5,61,0,0,0,0
39,"Mar 25, 2020",75,5,7,5,65,0,0,0,0
40,"Mar 26, 2020",79,4,6,6,68,0,0,0,0
41,"Mar 27, 2020",83,4,4,5,69,0,0,0,0
42,"Mar 28, 2020",90,7,5,6,76,0,0,0,0
43,"Mar 29, 2020",91,1,4,5,73,0,0,0,0
44,"Mar 30, 2020",103,12,7,6,83,0,0,0,0
45,"Mar 31, 2020",110,7,6,6,89,0,0,0,0
46,"Apr 01, 2020",117,7,9,6,94,0,0,0,0
