Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Feb 15, 2020",3,0.000,0.000,3,0,0,0,3,0,0,0,0,0,0,0.000,0.000
1,"Feb 16, 2020",3,0.000,0.000,3,0,0,0,3,0,0,0,0,0,0,0.000,0.000
2,"Feb 17, 2020",3,0.000,0.000,3,0,0,0,3,0,0,0,0,0,0,0.000,0.000
3,"Feb 18, 2020",3,0.000,0.000,3,0,0,0,3,0,0,0,0,0,0,0.000,0.000
4,"Feb 19, 2020",3,0.000,0.000,3,0,0,0,3,0,0,0,0,0,0,0.000,0.000
5,"Feb 20, 2020",4,0.000,0.000,4,1,0,0,4,0,0,0,0,0,1,0.000,0.000
6,"Feb 21, 2020",19,50.000,50.000,21,17,6,3,19,1,1,0,0,1,17,50.000,50.000
7,"Feb 22, 2020",75,50.000,50.000,79,58,26,11,75,2,1,0,0,1,58,50.000,50.000
8,"Feb 23, 2020",152,60.000,40.000,157,78,51,22,152,3,1,1,0,0,78,60.000,40.000
9,"Feb 24, 2020",220,77.780,22.220,229,72,69,32,220,7,4,2,1,0,72,77.780,22.220
10,"Feb 25, 2020",310,84.620,15.380,323,94,81,46,310,11,4,3,1,0,94,84.620,15.380
11,"Feb 26, 2020",455,80.000,20.000,470,147,105,66,455,12,1,3,2,1,147,80.000,20.000
12,"Feb 27, 2020",593,27.420,72.580,655,185,142,93,593,17,5,3,3,42,185,27.420,72.580
